11672
47   ( 4.07597, -0.311708)  ( 4.07914, -0.303493) 
46   ( 4.0606, -0.305604)  ( 4.07597, -0.311708) 
44   ( 4.04523, -0.2995)  ( 4.0606, -0.305604) 
45   ( 4.02846, -0.290683)  ( 4.04523, -0.2995) 
46   ( 4.0606, -0.305604)  ( 4.06379, -0.297558) 
46   ( 4.0117, -0.281867)  ( 4.02846, -0.290683) 
46   ( 3.99585, -0.269898)  ( 4.0117, -0.281867) 
46   ( 4.02846, -0.290683)  ( 4.05493, -0.24036) 
46   ( 3.98001, -0.25793)  ( 3.99585, -0.269898) 
46   ( 3.96495, -0.244595)  ( 3.98001, -0.25793) 
47   ( 3.99585, -0.269898)  ( 4.00551, -0.248754) 
46   ( 3.94988, -0.23126)  ( 3.96495, -0.244595) 
46   ( 3.93543, -0.218413)  ( 3.94988, -0.23126) 
47   ( 3.96495, -0.244595)  ( 3.97695, -0.231029) 
47   ( 3.92099, -0.205566)  ( 3.93543, -0.218413) 
47   ( 3.90701, -0.195061)  ( 3.92099, -0.205566) 
47   ( 3.93543, -0.218413)  ( 3.96011, -0.210612) 
47   ( 3.89303, -0.184557)  ( 3.90701, -0.195061) 
47   ( 3.87936, -0.178251)  ( 3.89303, -0.184557) 
47   ( 3.90701, -0.195061)  ( 3.92482, -0.173835) 
47   ( 3.86569, -0.171945)  ( 3.87936, -0.178251) 
47   ( 3.85226, -0.170402)  ( 3.86569, -0.171945) 
47   ( 3.87936, -0.178251)  ( 3.88405, -0.163482) 
47   ( 3.83882, -0.168858)  ( 3.85226, -0.170402) 
46   ( 3.82572, -0.16874)  ( 3.83882, -0.168858) 
47   ( 3.85226, -0.170402)  ( 3.85702, -0.155654) 
46   ( 3.81263, -0.168622)  ( 3.82572, -0.16874) 
47   ( 3.79988, -0.169019)  ( 3.81263, -0.168622) 
46   ( 3.82572, -0.16874)  ( 3.82586, -0.155229) 
47   ( 3.78712, -0.169416)  ( 3.79988, -0.169019) 
47   ( 3.77484, -0.170275)  ( 3.78712, -0.169416) 
47   ( 3.79988, -0.169019)  ( 3.79947, -0.156076) 
47   ( 3.76255, -0.171133)  ( 3.77484, -0.170275) 
47   ( 3.75093, -0.172436)  ( 3.76255, -0.171133) 
46   ( 3.77484, -0.170275)  ( 3.77411, -0.15999) 
47   ( 3.73931, -0.173739)  ( 3.75093, -0.172436) 
47   ( 3.72841, -0.175467)  ( 3.73931, -0.173739) 
47   ( 3.75093, -0.172436)  ( 3.75033, -0.167115) 
47   ( 3.71752, -0.177194)  ( 3.72841, -0.175467) 
47   ( 3.70742, -0.179317)  ( 3.71752, -0.177194) 
46   ( 3.69732, -0.18144)  ( 3.70742, -0.179317) 
46   ( 3.68811, -0.183919)  ( 3.69732, -0.18144) 
47   ( 3.70742, -0.179317)  ( 3.70173, -0.167556) 
46   ( 3.6789, -0.186397)  ( 3.68811, -0.183919) 
46   ( 3.67622, -0.187299)  ( 3.6789, -0.186397) 
47   ( 3.68811, -0.183919)  ( 3.68576, -0.175895) 
45   ( 3.67354, -0.1882)  ( 3.67622, -0.187299) 
45   ( 3.67966, -0.205417)  ( 3.67354, -0.1882) 
47   ( 3.67622, -0.187299)  ( 3.67136, -0.179301) 
47   ( 3.68578, -0.222634)  ( 3.67966, -0.205417) 
47   ( 3.69061, -0.237632)  ( 3.68578, -0.222634) 
46   ( 3.69957, -0.262318)  ( 3.6975, -0.257474) 
47   ( 3.70561, -0.280109)  ( 3.69957, -0.262318) 
47   ( 3.71165, -0.297901)  ( 3.70561, -0.280109) 
47   ( 3.71689, -0.313759)  ( 3.71165, -0.297901) 
47   ( 3.72213, -0.329617)  ( 3.71689, -0.313759) 
47   ( 3.72664, -0.343661)  ( 3.72213, -0.329617) 
47   ( 3.71689, -0.313759)  ( 3.70978, -0.316106) 
47   ( 3.73114, -0.357705)  ( 3.72664, -0.343661) 
47   ( 3.73498, -0.370052)  ( 3.73114, -0.357705) 
45   ( 3.73882, -0.3824)  ( 3.73498, -0.370052) 
45   ( 3.74205, -0.393171)  ( 3.73882, -0.3824) 
47   ( 3.73498, -0.370052)  ( 3.72757, -0.372356) 
47   ( 3.74528, -0.403941)  ( 3.74205, -0.393171) 
47   ( 3.74797, -0.413253)  ( 3.74528, -0.403941) 
47   ( 3.75066, -0.422565)  ( 3.74797, -0.413253) 
47   ( 3.75286, -0.430536)  ( 3.75066, -0.422565) 
47   ( 3.74797, -0.413253)  ( 3.74321, -0.419463) 
47   ( 3.75507, -0.438507)  ( 3.75286, -0.430536) 
47   ( 3.75686, -0.445256)  ( 3.75507, -0.438507) 
47   ( 3.75286, -0.430536)  ( 3.74784, -0.429755) 
47   ( 3.75865, -0.452005)  ( 3.75686, -0.445256) 
47   ( 3.76009, -0.457651)  ( 3.75865, -0.452005) 
47   ( 3.75686, -0.445256)  ( 3.74878, -0.451252) 
47   ( 3.76152, -0.463296)  ( 3.76009, -0.457651) 
47   ( 3.76267, -0.467957)  ( 3.76152, -0.463296) 
47   ( 3.76009, -0.457651)  ( 3.75079, -0.457615) 
47   ( 3.76382, -0.472618)  ( 3.76267, -0.467957) 
47   ( 3.76473, -0.476412)  ( 3.76382, -0.472618) 
47   ( 3.76267, -0.467957)  ( 3.75235, -0.465696) 
47   ( 3.76565, -0.480206)  ( 3.76473, -0.476412) 
47   ( 3.76641, -0.483252)  ( 3.76565, -0.480206) 
47   ( 3.76473, -0.476412)  ( 3.75606, -0.480861) 
47   ( 3.76716, -0.486298)  ( 3.76641, -0.483252) 
47   ( 3.76782, -0.488714)  ( 3.76716, -0.486298) 
47   ( 3.76641, -0.483252)  ( 3.75717, -0.484734) 
46   ( 3.76847, -0.49113)  ( 3.76782, -0.488714) 
46   ( 3.76912, -0.493031)  ( 3.76847, -0.49113) 
47   ( 3.76782, -0.488714)  ( 3.75824, -0.489483) 
47   ( 3.76977, -0.494931)  ( 3.76912, -0.493031) 
47   ( 3.77076, -0.496399)  ( 3.76977, -0.494931) 
47   ( 3.76912, -0.493031)  ( 3.75861, -0.490591) 
47   ( 3.77175, -0.497866)  ( 3.77076, -0.496399) 
47   ( 3.77351, -0.498971)  ( 3.77175, -0.497866) 
47   ( 3.77076, -0.496399)  ( 3.76564, -0.505205) 
47   ( 3.77526, -0.500075)  ( 3.77351, -0.498971) 
47   ( 3.77823, -0.500886)  ( 3.77526, -0.500075) 
47   ( 3.77351, -0.498971)  ( 3.76815, -0.507547) 
47   ( 3.78119, -0.501697)  ( 3.77823, -0.500886) 
47   ( 3.78579, -0.502286)  ( 3.78119, -0.501697) 
46   ( 3.77823, -0.500886)  ( 3.77133, -0.50858) 
47   ( 3.79039, -0.502874)  ( 3.78579, -0.502286) 
47   ( 3.79707, -0.503309)  ( 3.79039, -0.502874) 
47   ( 3.78579, -0.502286)  ( 3.78753, -0.509165) 
47   ( 3.80374, -0.503744)  ( 3.79707, -0.503309) 
47   ( 3.81292, -0.504097)  ( 3.80374, -0.503744) 
47   ( 3.79707, -0.503309)  ( 3.79664, -0.508636) 
45   ( 3.8221, -0.50445)  ( 3.81292, -0.504097) 
45   ( 3.83391, -0.504986)  ( 3.8221, -0.50445) 
