6483
47   ( 5.28082, -0.185735)  ( 5.30811, -0.185161) 
47   ( 5.25019, -0.185534)  ( 5.28082, -0.185735) 
47   ( 5.21956, -0.185334)  ( 5.25019, -0.185534) 
47   ( 5.18981, -0.174538)  ( 5.21956, -0.185334) 
47   ( 5.25019, -0.185534)  ( 5.29301, -0.157887) 
47   ( 5.16006, -0.163743)  ( 5.18981, -0.174538) 
46   ( 5.1325, -0.145991)  ( 5.16006, -0.163743) 
48   ( 5.18981, -0.174538)  ( 5.19344, -0.0912184) 
45   ( 5.10494, -0.12824)  ( 5.1325, -0.145991) 
46   ( 5.07922, -0.108496)  ( 5.10494, -0.12824) 
47   ( 5.1325, -0.145991)  ( 5.16368, -0.0804263) 
47   ( 5.0535, -0.0887523)  ( 5.07922, -0.108496) 
48   ( 5.02929, -0.0719343)  ( 5.0535, -0.0887523) 
47   ( 5.07922, -0.108496)  ( 5.0823, -0.0880728) 
49   ( 5.00508, -0.0551164)  ( 5.02929, -0.0719343) 
49   ( 4.98211, -0.0437566)  ( 5.00508, -0.0551164) 
49   ( 5.02929, -0.0719343)  ( 5.03415, -0.0649396) 
49   ( 4.95914, -0.0323968)  ( 4.98211, -0.0437566) 
48   ( 4.93726, -0.025717)  ( 4.95914, -0.0323968) 
49   ( 4.98211, -0.0437566)  ( 4.98631, -0.0200006) 
48   ( 4.91538, -0.0190373)  ( 4.93726, -0.025717) 
49   ( 4.89446, -0.0160155)  ( 4.91538, -0.0190373) 
49   ( 4.93726, -0.025717)  ( 4.94316, -0.00641569) 
49   ( 4.87353, -0.0129937)  ( 4.89446, -0.0160155) 
49   ( 4.85341, -0.0126079)  ( 4.87353, -0.0129937) 
48   ( 4.89446, -0.0160155)  ( 4.89629, 0.0284708) 
49   ( 4.83329, -0.0122221)  ( 4.85341, -0.0126079) 
49   ( 4.81384, -0.0134502)  ( 4.83329, -0.0122221) 
49   ( 4.85341, -0.0126079)  ( 4.84112, 0.00578961) 
49   ( 4.79438, -0.0146783)  ( 4.81384, -0.0134502) 
48   ( 4.7732, -0.0165027)  ( 4.79438, -0.0146783) 
